name,year,gross_Worldwide,phase,id
Iron Man,02/05/08,585.2,1,1
The Incredible Hulk,13/06/08,263.4,1,2
Iron Man 2,07/05/10,623.9,1,3
Thor,06/05/11,449.3,1,4
Captain America: The First Avenger,22/07/11,370.6,1,5
The Avengers,04/05/12,1518.8,1,6
Iron Man 3,03/05/13,1214.8,2,7
Thor: The Dark World,03/05/14,644.6,2,8
Captain America: The Winter Soldier,03/05/15,714.3,2,9
Guardians of the Galaxy,03/05/16,773.3,2,10
Avengers: Age of Ultron,03/05/17,1405.4,2,11
Ant-Man,03/05/18,519.3,2,12
Captain America: Civil War,06/05/16,1153.3,3,13
Doctor Strange,04/11/16,677.7,3,14
Guardians of the Galaxy 2,05/05/17,863.8,3,15
Spider-Man Homecoming,07/07/17,880.2,3,16
Thor: Ragnarok,03/11/17,854,3,17
Black Panther,16/02/18,1346.9,3,18
Avengers: Infinity War,27/04/18,2048.4,3,19
Ant-Man and the Wasp,06/07/18,622.7,3,20
Captain Marvel,08/03/19,1124.8,3,21
Avengers: Endgame,26/04/19,2503.1,3,22
